timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742151092166,232,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,255,115,2,2,https://www.daraz.com/,232,0,115
1742151092399,456,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,38863,111,2,2,https://daraz.com/,455,0,112
1742151092665,718,HTTP Request,200,OK,Thread Group 1-16,text,true,,39119,226,2,2,https://daraz.com/,220,0,114
1742151092665,220,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,255,115,2,2,https://www.daraz.com/,220,0,114
1742151092886,497,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,38864,111,2,2,https://daraz.com/,452,0,115
1742151093166,729,HTTP Request,200,OK,Thread Group 1-17,text,true,,39120,226,2,2,https://daraz.com/,219,0,110
1742151093166,219,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,255,115,2,2,https://www.daraz.com/,219,0,110
1742151093386,509,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,38865,111,2,2,https://daraz.com/,468,0,109
1742151093667,685,HTTP Request,200,OK,Thread Group 1-18,text,true,,39122,226,2,2,https://daraz.com/,220,0,114
1742151093667,220,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,255,115,2,2,https://www.daraz.com/,220,0,114
1742151093889,463,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,38867,111,2,2,https://daraz.com/,461,0,114
1742151094165,699,HTTP Request,200,OK,Thread Group 1-19,text,true,,39123,226,2,2,https://daraz.com/,226,0,114
1742151094165,226,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,255,115,2,2,https://www.daraz.com/,226,0,114
1742151094392,472,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,38868,111,2,2,https://daraz.com/,469,0,118
1742151094665,728,HTTP Request,200,OK,Thread Group 1-20,text,true,,39122,226,1,1,https://daraz.com/,224,0,115
1742151094665,224,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,255,115,1,1,https://www.daraz.com/,224,0,115
1742151094890,503,HTTP Request-1,200,OK,Thread Group 1-20,text,true,,38867,111,1,1,https://daraz.com/,451,0,112
